tgeene	13974	't geene
tgemeene	968	't gemeene
tselve	16031	't selve
Cnomene	62	(nomine
Cnomine	279	(nomine
Cnomne	49	(nomine
AClaesz	185	A. Claesz
Abommelin	66	A. Commelin
Ahuijlman	85	A. Huijlman
Ahuijsman	70	A. Huijlman
Abintestato	100	ab intestato
abintestato	561	ab intestato
aberbauel	74	Aberbanel
aboaf	67	aboas
AAbraham	114	Abraham
Abaham	57	Abraham
Abrahan	161	Abraham
Abrahem	77	Abraham
Abrahom	59	Abraham
Abrahum	58	Abraham
Abrakam	94	Abraham
Abralam	85	Abraham
Abranam	72	Abraham
Abraram	130	Abraham
Abrasam	188	Abraham
Abroham	76	Abraham
Araham	145	Abraham
Abrahamde	169	Abraham de
ablolut	48	absolut
alsolute	72	absolute
accentatie	119	acceptatie
acceplatie	104	acceptatie
accepratie	67	acceptatie
accertatie	64	acceptatie
accesstatie	120	acceptatie
accestatie	633	acceptatie
accextatie	727	acceptatie
accoptatie	54	acceptatie
aceeptatie	89	acceptatie
acieptatie	49	acceptatie
acteptatie	80	acceptatie
aeceptatie	66	acceptatie
accepleeren	47	accepteeren
accerteren	78	accepteren
accesteren	124	accepteren
accexteren	271	accepteren
accopteren	78	accepteren
aceepteren	58	accepteren
aecepteren	46	accepteren
accopterende	46	accepterende
acconderen	96	accorderen
achtstepart	101	achtste part
Actiem	56	Actien
actiale	47	actuale
Autueel	119	Actueel
achueele	68	actueele
actucele	52	actueele
aetueele	74	actueele
achuele	53	actuele
actiele	65	actuele
aetuele	115	actuele
Achum	196	Actum
Aetum	52	Actum
ablites	64	ad lites
adlises	144	ad lites
adlite	104	ad lites
adlitel	98	ad lites
adliten	60	ad lites
Adlites	191	ad lites
adlites	3416	ad lites
adlitet	64	ad lites
aelites	284	ad lites
aolites	47	ad lites
Adan	97	Adam
adanisz	64	Adamsz
Adanisz	70	Adamsz
admiistratie	61	administratie
Admiistratie	92	administratie
Administiatie	55	administratie
adminstratie	83	administratie
Adminstratie	87	Administratie
admmistratie	66	administratie
admnistratie	47	administratie
adminaal	46	admiraal
adminaliteijt	101	admiraliteijt
adminaliteit	62	admiraliteit
Adiaan	105	Adriaan
Adnaan	116	Adriaan
Adraan	90	Adriaan
Adnaen	55	Adriaen
Adraen	132	Adriaen
Adnana	95	Adriana
Adnanus	76	Adrianus
adlignatie	225	adsignatie
adfigneerende	84	adsigneerende
adligaerende	61	adsigneerende
adligneerende	354	adsigneerende
adligneren	124	adsigneren
adlignerende	415	adsignerende
adsigaerende	72	adsignerende
adsigierende	59	adsignerende
advententie	94	advertentie
adverteutie	186	advertentie
aduijs	87	advijs
aduis	61	advis
Adrocaat	57	Advocaat
advolaat	46	advocaat
Adrt	57	Advt
aenboort	300	aen boort
alnde	82	aen de
Aenden	79	Aen den
aenden	4253	aen den
aenhaer	102	aen haer
aenhem	155	aen hem
aenhen	85	aen hen
aenstucken	66	aen stucken
aente	407	aen te
